Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,SoTA,Save%,CS%,PenSave%,FK,CK,PSxG,PSxG/SoT,PSxG+/-,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp%,#OPA,AvgDist
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,4,360,4,1.25,5,75,25,0,0,0,1.15,0.25,-0.1,2.5,7.75,32.3,14,2.5,37.5,36.8,6.5,38.5,38.3,8.75,5.7,1.25,4.33
2,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,1080,12,1.08,2.67,62.5,33.3,50,0,0.08,0.88,0.29,-0.21,5.33,13.4,39.8,26.8,4.42,31.7,33.5,5.83,84.3,57.7,9,4.6,1.17,1.27
3,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,36,3240,36,0.67,2.69,75.3,55.6,0,0,0.11,0.76,0.28,0.12,5.19,9.58,54.2,33,5.42,22.5,29.9,4.75,45.6,40,6.14,9.5,1.75,0.5
4,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1,1,90,1,1,3,66.7,0,0,0,0,1.2,0.39,0.2,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,7.7,0,7
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,4,360,4,0.5,3.25,84.6,50,0,0,0.25,0.82,0.26,0.33,4,9.75,41,29.5,7,28,30.8,5.25,28.6,30.2,7.75,3.2,1.25,4.05
6,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,6,540,6,1.5,4.5,70.4,0,0,0,0.17,1.52,0.31,0.02,4.67,10.7,43.8,27.7,6.5,27.1,32,9.33,33.9,36.4,12.2,6.8,1.33,2.47
7,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,29,29,2560,28.4,1.69,4.61,64.1,17.2,50,0.04,0.18,1.51,0.32,-0.14,7.75,17.8,43.5,27.6,4.12,45.7,39.8,7.54,68.7,49.8,9.51,9.3,0.42,0.47
8,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,12,1080,12,2.33,5.75,63.8,0,0,0.08,0.33,1.98,0.31,-0.18,7.42,18.8,39.4,22.5,3.67,60.7,47.4,7.25,71.3,52.7,9,2.8,0.67,1.09
9,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,24,2160,24,1.46,4.42,73.6,20.8,12.5,0,0.25,1.68,0.31,0.23,8.79,19.5,45.2,25.8,4.17,50.5,39.7,8.79,73.5,51.7,11.5,8.7,0.96,0.66
10,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,1,0,3,0,0,1,100,0,0,0,0,0.1,0.09,0.1,0,4,0,3,0,100,67.3,1,100,60,1,0,0,0
11,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,7,4,510,5.7,2.28,4.74,59.3,0,0,0.18,0,2.35,0.43,0.07,5.79,15.1,38.4,24.7,6.84,39.7,34.7,7.72,68.2,50.2,9.3,1.9,1.58,2.75
12,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,2,177,2,1,4.5,77.8,50,0,0,0,1.65,0.36,0.65,4.5,12.5,36,18.5,3,51.4,37.5,6.5,46.2,38.8,7,14.3,0,5.3
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,33,2970,33,1.73,4.67,64.3,24.2,33.3,0,0.27,1.64,0.34,-0.05,5.09,13.7,37.1,39.7,5.15,30.2,32.4,6.39,27.5,30.4,8.27,9.2,1.3,0.48
14,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3,3,270,3,2.67,5.67,58.8,33.3,0,0,1,1.83,0.27,-0.5,7,22.7,30.9,17.7,1.33,79.2,54.2,10.3,83.9,58.1,7.67,13,0,4.3
15,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,23,21,1938,21.5,2.28,6,64.3,4.8,25,0,0.28,1.83,0.28,-0.36,7.02,16.5,42.7,18.6,3.58,55.5,44.2,8.33,73.7,52.9,9.95,4.7,0.37,0.6
16,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37,37,3330,37,0.95,3.73,77.5,37.8,20,0.03,0.03,1.08,0.26,0.13,4.65,11.4,40.7,20.8,4.38,35.7,33.9,7.03,56.9,44.7,8.46,4.8,0.59,0.38
17,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1,1,90,1,3,7,57.1,0,0,0,0,2.7,0.46,-0.3,5,20,25,23,5,56.5,43.3,7,100,58.7,4,0,0,12.2
18,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10,10,900,10,0.8,3.8,84.2,40,33.3,0,0,1.03,0.22,0.23,5.2,19.7,26.4,24.3,3.8,54.3,43.8,7.7,84.4,60.5,8.3,9.6,0.6,1.45
19,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13,13,1170,13,1.46,3.31,62.8,30.8,0,0.15,0.46,1.09,0.27,-0.37,4.23,9.38,45.1,18.4,6.31,32.6,35.2,7.54,44.9,40.5,10.3,12.7,0.54,1.12
